"co_ocupacao","ds_ocupacao","co_cbo","tp_escolaridade","st_restricao_idade"
893,"PILOTO COMERCIAL (EXCETO LINHAS AEREAS)","341105","4","18"
894,"PILOTO COMERCIAL DE HELICOPTERO (EXCETO LINHAS AEREAS)","341110","4","18"
895,"MECANICO DE VOO","341115","4","16"
896,"PILOTO AGRICOLA","341120","4","18"
897,"CONTRAMESTRE DE CABOTAGEM","341205","3","10"
898,"MESTRE DE CABOTAGEM","341210","3","10"
899,"MESTRE FLUVIAL","341215","3","10"
900,"PATRAO DE PESCA DE ALTO-MAR","341220","3","10"
902,"PILOTO FLUVIAL","341230","3","10"
903,"CONDUTOR MAQUINISTA FLUVIAL","341305","3","10"
904,"CONDUTOR MAQUINISTA MARITIMO","341310","3","10"
905,"ELETRICISTA DE BORDO","341315","3","10"
906,"ANALISTA DE TRANSPORTE EM COMERCIO EXTERIOR","342105","4","18"
907,"OPERADOR DE TRANSPORTE MULTIMODAL","342110","4","18"
908,"CONTROLADOR DE SERVICOS DE MAQUINAS E VEICULOS","342115","4","18"
909,"AFRETADOR","342120","4","14"
910,"AJUDANTE DE DESPACHANTE ADUANEIRO","342205","4","14"
911,"DESPACHANTE ADUANEIRO","342210","4","18"
912,"CHEFE DE SERVICO DE TRANSPORTE RODOVIARIO (PASSAGEIROS E CARGAS)","342305","4","18"
913,"INSPETOR DE SERVICOS DE TRANSPORTES RODOVIARIOS (PASSAGEIROS E CARGAS)","342310","4","18"
914,"SUPERVISOR DE CARGA E DESCARGA","342315","4","18"
915,"AGENTE DE ESTACAO (FERROVIA E METRO)","342405","4","18"
916,"OPERADOR DE CENTRO DE CONTROLE (FERROVIA E METRO)","342410","4","18"
917,"CONTROLADOR DE TRAFEGO AEREO","342505","4","18"
918,"DESPACHANTE OPERACIONAL DE VOO","342510","4","18"
919,"FISCAL DE AVIACAO CIVIL (FAC)","342515","4","18"
920,"GERENTE DA ADMINISTRACAO DE AEROPORTOS","342520","4","18"
921,"GERENTE DE EMPRESA AEREA EM AEROPORTOS","342525","4","18"
922,"INSPETOR DE AVIACAO CIVIL","342530","4","18"
923,"OPERADOR DE ATENDIMENTO AEROVIARIO","342535","4","18"
925,"SUPERVISOR DE EMPRESA AEREA EM AEROPORTOS","342545","4","18"
926,"CHEFE DE ESTACAO PORTUARIA","342605","4","18"
927,"SUPERVISOR DE OPERACOES PORTUARIAS","342610","4","18"
928,"TECNICO DE CONTABILIDADE","351105","4","18"
929,"CHEFE DE CONTABILIDADE (TECNICO)","351110","4","18"
930,"CONSULTOR CONTABIL (TECNICO)","351115","4","18"
931,"TECNICO EM ADMINISTRACAO","351305","4","18"
932,"TECNICO EM ADMINISTRACAO DE COMERCIO EXTERIOR","351310","4","18"
933,"AGENTE DE RECRUTAMENTO E SELECAO","351315","4","18"
934,"ESCREVENTE","351405","4","18"
935,"ESCRIVAO JUDICIAL","351410","5","18"
936,"ESCRIVAO EXTRA - JUDICIAL","351415","5","18"
937,"ESCRIVAO DE POLICIA","351420","4","18"
938,"OFICIAL DE JUSTICA","351425","4","18"
939,"AUXILIAR DE SERVICOS JURIDICOS","351430","3","14"
940,"TECNICO EM SECRETARIADO","351505","4","18"
941,"TAQUIGRAFO","351510","4","18"
942,"ESTENOTIPISTA","351515","4","18"
943,"TECNICO EM SEGURANCA NO TRABALHO","351605","4","18"
944,"ANALISTA DE SEGUROS (TECNICO)","351705","4","18"
945,"ANALISTA DE SINISTROS","351710","4","18"
946,"ASSISTENTE COMERCIAL DE SEGUROS","351715","4","18"
947,"ASSISTENTE TECNICO DE SEGUROS","351720","4","18"
948,"INSPETOR DE RISCO","351725","4","18"
949,"INSPETOR DE SINISTROS","351730","4","18"
951,"TECNICO DE SEGUROS","351740","4","18"
952,"DETETIVE PROFISSIONAL","351805","4","18"
953,"INVESTIGADOR DE POLICIA","351810","4","18"
954,"PAPILOSCOPISTA POLICIAL","351815","5","18"
955,"AGENTE DE DEFESA AMBIENTAL","352205","4","18"
956,"AGENTE DE SAUDE PUBLICA","352210","4","18"
957,"METROLOGISTA","352305","4","18"
958,"AGENTE FISCAL DE QUALIDADE","352310","4","18"
959,"AGENTE FISCAL METROLOGICO","352315","4","18"
960,"AGENTE FISCAL TEXTIL","352320","4","18"
961,"AGENTE DE DIREITOS AUTORAIS","352405","5","18"
962,"AVALIADOR DE PRODUTOS DO MEIO DE COMUNICACAO","352410","5","18"
963,"OUVIDOR (OMBUDSMAN) DO MEIO DE COMUNICACAO","352415","5","18"
964,"TECNICO EM DIREITOS AUTORAIS","352420","5","18"
966,"TECNICO DE OPERACOES E SERVICOS BANCARIOS - CREDITO IMOBILIARIO","353210","4","18"
967,"TECNICO DE OPERACOES E SERVICOS BANCARIOS - CREDITO RURAL","353215","4","18"
968,"TECNICO DE OPERACOES E SERVICOS BANCARIOS - LEASING","353220","4","18"
969,"TECNICO DE OPERACOES E SERVICOS BANCARIOS - RENDA FIXA E VARIAVEL","353225","4","18"
970,"TESOUREIRO DE BANCO","353230","4","18"
971,"CHEFE DE SERVICOS BANCARIOS","353235","4","18"
972,"AGENCIADOR DE PROPAGANDA","354110","4","18"
973,"AGENTE DE VENDAS DE SERVICOS","354120","4","18"
974,"ASSISTENTE DE VENDAS","354125","4","18"
975,"PROMOTOR DE VENDAS ESPECIALIZADO","354130","4","18"
976,"TECNICO DE VENDAS","354135","4","18"
977,"TECNICO EM ATENDIMENTO E VENDAS","354140","4","18"
